bat_time,info_date,stock_code,stock_country,vesting_type,vesting_type_detail,stock_name,stock_market_sum,stock_share_total_num,stock_first_price,stock_foreign_share_max,stock_foreign_share_num,stock_foreign_share_percent,stock_maxprice_year,stock_lowprice_year,stock_per,stock_eps,stock_per_guess,stock_eps_guess,stock_pbr,stock_bps,stock_allocation_ratio,stock_similar_per,stock_now,stock_close,stock_open,stock_high,stock_low,stock_volume_share,stock_volume_money,stock_trading_sum_foreign,stock_trading_sum_agency,stock_trading_sum_ant,stock_agency_buy_top1,stock_agency_buy_top1_vol,stock_agency_buy_top2,stock_agency_buy_top2_vol,stock_agency_buy_top3,stock_agency_buy_top3_vol,stock_agency_buy_top4,stock_agency_buy_top4_vol,stock_agency_buy_top5,stock_agency_buy_top5_vol,stock_agency_sell_top1,stock_agency_sell_top1_vol,stock_agency_sell_top2,stock_agency_sell_top2_vol,stock_agency_sell_top3,stock_agency_sell_top3_vol,stock_agency_sell_top4,stock_agency_sell_top4_vol,stock_agency_sell_top5,stock_agency_sell_top5_vol,etc1_string,etc2_string,etc3_string,etc4_string,etc5_string,etc1_int,etc2_int,etc3_int,etc4_int,etc5_int
2021-09-18 09:58:25.774626,2021-09-17 00:00:00.000000,114120,1.0,1.0,1.0,크루셜텍,23581479375.0,20961315,1000,20961315,0,0.00,1990,766,N/A,-638,N/A,N/A,0.64,1764,N/A,227.28,1125,1125,1155,1175,1120,37616,43,-2589,,-103578.0,키움증권,7177,현대차증권,5843,미래에셋대우,5076,NH투자증권,4617,신한금융투자,4155,한국증권,12385,삼성,10975,KB증권,5225,신한금융투자,2825,키움증권,2535,,,,,,0.0,0.0,0.0,0.0,0.0
2021-09-18 09:58:26.013956,2021-09-17 00:00:00.000000,110790,1.0,1.0,1.0,크리스에프앤씨,530125470000.0,11715480,1000,11715480,345773,2.95,48850,21000,10.08,4487,N/A,N/A,1.89,23988,1.63,7.02,45250,45250,44550,45650,43950,45738,2053,-6539,-40,6579.0,키움증권,7559,미래에셋대우,6331,삼성,5057,KB증권,5051,대신,4953,키움증권,9267,미래에셋대우,7535,한국증권,5025,대신,4683,제이피모간,3201,,,,,,0.0,0.0,0.0,0.0,0.0
2021-09-18 09:58:26.267234,2021-09-17 00:00:00.000000,083790,1.0,1.0,1.0,크리스탈지노믹스,540122590800.0,69246486,500,69246486,4180403,6.04,13304,6730,866.67,9,N/A,N/A,2.59,3009,N/A,14.01,7800,7800,7740,7800,7630,525917,4050,+118550,-35883,-82667.0,미래에셋대우,119509,키움증권,76163,신한금융투자,67123,삼성,60559,모건스탠리,39327,미래에셋대우,175350,키움증권,89161,KB증권,62077,삼성,51725,한국증권,30052,,,,,,0.0,0.0,0.0,0.0,0.0
2021-09-18 09:58:26.495706,2021-09-17 00:00:00.000000,045520,1.0,1.0,1.0,크린앤사이언스,125450000000.0,6500000,500,6500000,219271,3.37,34450,18200,2412.50,8,N/A,N/A,2.50,7710,2.59,15.57,19300,19300,19200,19350,19150,8016,154,+701,,-82667.0,NH투자증권,1617,미래에셋대우,1277,키움증권,1166,KB증권,903,신한금융투자,888,대신,1783,미래에셋대우,1590,한국증권,1454,키움증권,1169,NH투자증권,781,,,,,,0.0,0.0,0.0,0.0,0.0
2021-09-18 09:58:26.741369,2021-09-17 00:00:00.000000,036170,1.0,1.0,1.0,클라우드에어,120189268485.0,56032293,1000,56032293,2117359,3.78,3000,1100,N/A,-135,N/A,N/A,1.17,1838,N/A,51.55,2145,2145,1650,2145,1610,6902406,14388,-298379,+466,297913.0,키움증권,3200350,삼성,553293,미래에셋대우,368324,이베스트,288899,신한금융투자,230108,키움증권,1987955,미래에셋대우,613401,한국증권,611530,NH투자증권,404424,신한금융투자,404060,,,,,,0.0,0.0,0.0,0.0,0.0
2021-09-18 09:58:27.040317,2021-09-17 00:00:00.000000,214150,1.0,1.0,1.0,클래시스,1355818300800.0,64716864,100,64716864,7578131,11.71,27200,11800,31.08,674,28.00,736,9.58,2187,0.29,39.18,20950,20950,20600,20950,20550,171346,3559,-6032,-1776,7808.0,한국증권,24666,키움증권,17918,삼성,15180,신한금융투자,14780,모건스탠리,13799,키움증권,25129,모건스탠리,21487,신한금융투자,18507,미래에셋대우,12142,삼성,11766,,,,,,0.0,0.0,0.0,0.0,0.0
2021-09-18 09:58:27.279914,2021-09-17 00:00:00.000000,352770,1.0,1.0,1.0,클리노믹스,169723776600.0,13470141,100,13470141,48857,0.36,26150,11550,N/A,-1155,N/A,N/A,4.16,3028,N/A,-106.77,12600,12600,12450,12650,12350,24714,309,-1979,,7808.0,키움증권,7624,NH투자증권,6987,KB증권,3075,한국증권,1922,미래에셋대우,1119,한국증권,4569,신한금융투자,3343,키움증권,3154,미래에셋대우,2491,NH투자증권,2277,,,,,,0.0,0.0,0.0,0.0,0.0
2021-09-18 09:58:27.592144,2021-09-17 00:00:00.000000,237880,1.0,1.0,1.0,클리오,377428360400.0,17393012,500,17393012,248603,1.43,29400,15300,63.27,343,29.00,761,2.28,9500,0.46,46.81,21700,21700,21450,22050,21350,69810,1517,+1516,+3400,-4916.0,한국증권,14523,키움증권,12749,미래에셋대우,5541,KB증권,5318,NH투자증권,4975,IBK증권,17643,키움증권,11812,NH투자증권,5340,신한금융투자,5302,한국증권,5101,,,,,,0.0,0.0,0.0,0.0,0.0
2021-09-18 09:58:27.877067,2021-09-17 00:00:00.000000,139670,1.0,1.0,1.0,키네마스터,282440500950.0,13546307,500,13546307,195813,1.45,63300,8120,408.82,51,N/A,N/A,19.31,1080,N/A,42.57,20850,20850,21200,21300,20550,150186,3126,+15283,,-4916.0,키움증권,30484,삼성,12720,미래에셋대우,12350,모건스탠리,12182,NH투자증권,11237,키움증권,53869,삼성,19817,대신,17245,한국증권,9562,NH투자증권,9263,,,,,,0.0,0.0,0.0,0.0,0.0
2021-09-18 09:58:28.141132,2021-09-17 00:00:00.000000,054780,1.0,1.0,1.0,키이스트,232368586000.0,17738060,500,17738060,1564345,8.82,20450,10300,35.50,369,N/A,N/A,5.25,2493,N/A,-22.27,13100,13100,12900,13100,12750,122353,1580,-2854,-23740,26594.0,미래에셋대우,25024,한국증권,20681,키움증권,16704,삼성,12159,NH투자증권,11221,미래에셋대우,23866,키움증권,22567,한국증권,13860,삼성,9734,대신,8967,,,,,,0.0,0.0,0.0,0.0,0.0
